original;funkce;autor
Ministr zdravotnictví ČR Jan Blatný;Ministr zdravotnictví ČR;Jan Blatný
Ministr zdravotnictví ČR Leoš Heger;Ministr zdravotnictví ČR;Leoš Heger
Ministr zdravotnictví ČR Martin Holcát;Ministr zdravotnictví ČR;Martin Holcát
Ministr zdravotnictví ČR Miloslav Ludvík;Ministr zdravotnictví ČR;Miloslav Ludvík
Ministr zdravotnictví ČR Roman Prymula;Ministr zdravotnictví ČR;Roman Prymula
Ministr zdravotnictví ČR Svatopluk Němeček;Ministr zdravotnictví ČR;Svatopluk Němeček
Ministr zemědělství ČR Ivan Fuksa;Ministr zemědělství ČR;Ivan Fuksa
Ministr zemědělství ČR Jiří Milek;Ministr zemědělství ČR;Jiří Milek
Ministr zemědělství ČR Marian Jurečka;Ministr zemědělství ČR;Marian Jurečka
Ministr zemědělství ČR Miroslav Toman;Ministr zemědělství ČR;Miroslav Toman
Ministr zemědělství ČR Petr Bendl;Ministr zemědělství ČR;Petr Bendl
Ministr životního prostředí Tomáš Jan Podivínský;Ministr životního prostředí;Tomáš Jan Podivínský
Ministr životního prostředí ČR Pavel Drobil;Ministr životního prostředí ČR;Pavel Drobil
Ministr životního prostředí ČR Richard Brabec;Ministr životního prostředí ČR;Richard Brabec
Ministr životního prostředí ČR Tomáš Chalupa;Ministr životního prostředí ČR;Tomáš Chalupa
Ministr životního prostředí ČR Tomáš Jan Podivínský;Ministr životního prostředí ČR;Tomáš Jan Podivínský
Ministryně školství, mládeže a tělovýchovy ČR Kateřina Valachová;Ministryně školství, mládeže a tělovýchovy ČR;Kateřina Valachová
Ministryně financí ČR Alena Schillerová;Ministryně financí ČR;Alena Schillerová
Ministryně kultury ČR Alena Hanáková;Ministryně kultury ČR;Alena Hanáková
Ministryně obrany ČR Karla Šlechtová;Ministryně obrany ČR;Karla Šlechtová
Ministryně pro místní rozvoj ČR Karla Šlechtová;Ministryně pro místní rozvoj ČR;Karla Šlechtová
Ministryně pro místní rozvoj ČR Klára Dostálová;Ministryně pro místní rozvoj ČR;Klára Dostálová
Ministryně pro místní rozvoj ČR Věra Jourová;Ministryně pro místní rozvoj ČR;Věra Jourová
Ministryně průmyslu a obchodu ČR Marta Nováková;Ministryně průmyslu a obchodu ČR;Marta Nováková
